setting,duration,pooling,pooling_display,tag,ap,pr_auc,roc_auc,support_pos_eval,train_count,setting_display
dur_2.0_attention,2.0,attention,heuristic_attention,female,0.6885551172786701,0.6781155494640079,0.9347787347787346,74,1196,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,female,0.7630387430669281,0.7558916560940776,0.9525690525690526,74,1196,2.0s_max
dur_2.0_mean,2.0,mean,mean,female,0.6958673513399721,0.686068914306851,0.9374517374517375,74,1196,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,female,0.6890154602060762,0.6791955593992536,0.9328482328482328,74,1196,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,female,0.7825461318727249,0.7746691614434311,0.9550341550341551,74,1196,4.0s_max
dur_4.0_mean,4.0,mean,mean,female,0.7022619252072999,0.6926518211692909,0.9366498366498366,74,1196,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,female,0.6841333776527798,0.674491323597886,0.9283041283041283,74,1196,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,female,0.7595076291923525,0.750770969380832,0.9521235521235522,74,1196,8.0s_max
dur_8.0_mean,8.0,mean,mean,female,0.6977581267409059,0.6870366720215821,0.9322839322839322,74,1196,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,female vocal,0.3636966067438387,0.3508986711795616,0.8827085285848172,44,525,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,female vocal,0.45741062004968225,0.4460353458977654,0.9104029990627929,44,525,0.5s_max
dur_0.5_mean,0.5,mean,mean,female vocal,0.3713028177474066,0.35846032809429507,0.8852389878163074,44,525,0.5s_mean
